Week,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17
1,ARZ @ SF,TEN @ DEN (MNF),LAC @ CIN,TB @ NO (NAT),HOU @ KC (THNF),SEA @ ATL,PIT @ NYG (MNF),PHI @ WAS,DAL @ LAR (SNF),GB @ MIN,MIA @ NE,LAS @ CAR,CLE @ BAL,NYJ @ BUF,IND @ JAX,OFF,CHI @ DET
2,NO @ LAS (MNF),ATL @ DAL,NYG @ CHI,LAR @ PHI,BUF @ MIA,DET @ GB,KC @ LAC (NAT),DEN @ PIT,OFF,CAR @ TB,JAX @ TEN,BAL @ HOU (NAT),MIN @ IND,WAS @ ARZ,NE @ SEA (SNF),CIN @ CLE (THNF),SF @ NYJ
3,TB @ DEN (NAT),HOU @ PIT,GB @ NO (SNF),CAR @ LAC,LAS @ NE,KC @ BAL (MNF),NYJ @ IND,DET @ ARZ,CIN @ PHI,SF @ NYG,CHI @ ATL,DAL @ SEA (NAT),TEN @ MIN,MIA @ JAX (THNF),OFF,LAR @ BUF,WAS @ CLE
4,PIT @ TEN,NE @ KC (NAT),BAL @ WAS,DEN @ NYJ (THNF),PHI @ SF (SNF),NYG @ LAR,OFF,ATL @ GB (MNF),BUF @ LAS,JAX @ CIN,MIN @ HOU,IND @ CHI,SEA @ MIA,OFF,CLE @ DAL,NO @ DET,ARZ @ CAR
5,LAR @ WAS,TB @ CHI (SNF),CAR @ ATL,NYG @ DAL (NAT),OFF,OFF,DEN @ NE,IND @ CLE,MIA @ SF,LAS @ KC,LAC @ NO (MNF),BUF @ TEN,JAX @ HOU,CIN @ BAL,ARZ @ NYJ,MIN @ SEA (SNF),PHI @ PIT
6,OFF,NYJ @ LAC,MIA @ DEN,OFF,GB @ TB (NAT),CIN @ IND,DET @ JAX,OFF,CHI @ CAR,BAL @ PHI,WAS @ NYG,ARZ @ DAL (MNF),LAR @ SF (SNF),CLE @ PIT,KC @ BUF (THNF),HOU @ TEN,ATL @ MIN
7,SEA @ ARZ,OFF,NYG @ PHI (THNF),CHI @ LAR (MNF),PIT @ BAL,TB @ LAS (SNF),DAL @ WAS,SF @ NE,KC @ DEN (NAT),GB @ HOU,OFF,LAC @ MIA,OFF,CAR @ NO,DET @ ATL,BUF @ NYJ,CLE @ CIN
8,NO @ CHI (NAT),TEN @ CIN,OFF,NE @ BUF,OFF,NYJ @ KC,MIN @ GB,DAL @ PHI (SNF),IND @ DET,SF @ SEA (NAT),LAR @ MIA,OFF,LAS @ CLE,OFF,TB @ NYG (MNF),ATL @ CAR (THNF),JAX @ LAC
9,LAS @ LAC,BAL @ IND,CHI @ TEN,HOU @ JAX,MIA @ ARZ,PIT @ DAL (NAT),OFF,OFF,SEA @ BUF,NO @ TB (SNF),GB @ SF (MNF),DEN @ ATL,NE @ NYJ (MNF),DET @ MIN,CAR @ KC,OFF,NYG @ WAS
10,BAL @ NE (SNF),SF @ NO (NAT),SEA @ LAR (NAT),DEN @ LAS,MIN @ CHI (MNF),WAS @ DET,BUF @ ARZ,NYJ @ MIA,OFF,OFF,CIN @ PIT,PHI @ NYG,TB @ CAR,HOU @ CLE,OFF,JAX @ GB,IND @ TEN (THNF)
11,DET @ CAR,DAL @ MIN (NAT),PIT @ JAX,OFF,LAC @ DEN,OFF,TEN @ BAL,ARZ @ SEA (THNF),NE @ HOU,ATL @ NO,KC @ LAS (SNF),CIN @ WAS,OFF,GB @ IND,PHI @ CLE,LAR @ TB (MNF),OFF
12,SF @ LAR,CHI @ GB (SNF),ARZ @ NE,MIA @ NYJ,CAR @ MIN,LAC @ BUF,LAS @ ATL,KC @ TB (NAT),BAL @ PIT (THNF),WAS @ DAL (THGV),OFF,NO @ DEN,NYG @ CIN,SEA @ PHI (MNF),HOU @ DET (THGV),TEN @ IND,CLE @ JAX
13,OFF,NYG @ SEA,DAL @ BAL (THNF),WAS @ PIT,IND @ HOU,JAX @ MIN,DEN @ KC (SNF),DET @ CHI,LAS @ NYJ,BUF @ SF (MNF),CLE @ TEN,OFF,NE @ LAC (NAT),NO @ ATL,LAR @ ARZ,CIN @ MIA,PHI @ GB
14,DAL @ CIN,OFF,NYJ @ SEA,BAL @ CLE (MNF),NO @ PHI (NAT),HOU @ CHI,GB @ DET,WAS @ SF (NAT),ATL @ LAC (NAT),IND @ LAS,MIN @ TB,PIT @ BUF (SNF),TEN @ JAX,NE @ LAR (THNF),DEN @ CAR,ARZ @ NYG,KC @ MIA
15,KC @ NO (NAT),PHI @ ARZ,OFF,SF @ DAL (SNF),DET @ TEN,BUF @ DEN,LAC @ LAS (THNF),HOU @ IND,PIT @ CIN (MNF),NE @ MIA,JAX @ BAL,NYJ @ LAR,CAR @ GB,CLE @ NYG,CHI @ MIN,SEA @ WAS,TB @ ATL
16,TEN @ GB (SNF),CLE @ NYJ,CAR @ WAS,LAR @ SEA,CHI @ JAX,CIN @ HOU,MIN @ NO (XMAS),NYG @ BAL,PHI @ DAL (NAT),OFF,ATL @ KC,TB @ DET,SF @ ARZ,DEN @ LAC,MIA @ LAS,IND @ PIT,BUF @ NE (MNF)
17,ATL @ TB,SEA @ SF (NAT),MIN @ DET,LAC @ KC,ARZ @ LAR,PIT @ CLE,MIA @ BUF,LAS @ DEN,NO @ CAR,TEN @ HOU,GB @ CHI,JAX @ IND,DAL @ NYG,BAL @ CIN,WAS @ PHI,NYJ @ NE,OFF
